sample_id,url_len,num_subdomains,has_ip,is_https,count_at,count_dash,count_double_slash,domain_entropy,tld_type,num_params,has_suspicious_params
618,29,1,0,0,0,0,0,3.121928094887362,com,0,0
619,39,1,0,0,0,1,0,2.9477027792200903,io,0,0
620,24,1,0,0,0,0,0,3.121928094887362,com,0,0
621,29,1,0,0,0,0,0,3.4677201004745006,com,0,0
622,39,1,0,0,0,1,0,3.4677201004745006,com,0,0
623,39,1,0,0,0,1,0,3.4677201004745006,com,0,0
624,39,1,0,0,0,1,0,3.4677201004745006,com,0,0
625,17,0,0,0,0,0,0,3.1219280948873624,com,0,0
626,39,1,0,0,0,1,0,3.4677201004745006,com,0,0
627,40,1,0,0,0,2,0,3.4677201004745006,com,0,0
628,39,1,0,0,0,1,0,3.4677201004745006,com,0,0
629,28,1,0,0,0,0,0,3.121928094887362,com,0,0
630,27,1,0,0,0,0,0,3.121928094887362,com,0,0
631,23,1,0,0,0,0,0,3.121928094887362,com,0,0
632,33,1,0,0,0,0,0,3.121928094887362,com,0,0
633,44,1,0,0,0,2,0,2.9477027792200903,io,0,0
634,35,1,0,0,0,2,0,3.0957952550009344,site,0,0
635,26,1,0,0,0,0,0,3.121928094887362,com,0,0
636,30,1,0,0,0,0,0,3.121928094887362,com,0,0
637,50,0,0,0,0,1,0,3.506890595608519,com,0,0
638,65,0,0,0,1,0,0,3.4472624994412104,com,1,1
639,55,0,0,0,1,0,0,3.4472624994412104,com,1,1
640,34,1,0,0,0,1,0,3.0957952550009344,site,0,0
641,44,1,0,0,0,1,0,2.9219280948873623,app,0,0
642,36,0,0,0,0,0,0,3.609496334425697,com,0,0
643,35,1,0,0,0,1,0,3.1219280948873624,site,0,0
644,31,0,0,0,0,2,0,3.8035088547976788,com,0,0
645,39,1,0,0,0,2,0,2.9477027792200903,io,0,0
646,17,0,0,0,0,0,0,3.321928094887362,com,0,0
647,24,1,0,0,0,0,0,3.277613436819116,ws,0,0
648,54,1,0,0,0,0,0,3.277613436819116,ws,0,0
649,58,0,0,0,0,1,0,3.2359263506290334,com,0,0
650,41,1,0,0,0,2,0,2.9477027792200903,io,0,0
